167.55	224.69	333.79	215.60	401.32	359.76	197.42	390.93	
167.69	224.95	334.23	214.91	402.14	360.27	197.43	391.00	
171.06	228.10	338.38	217.18	410.81	364.70	205.07	396.61	
186.78	238.78	356.11	226.40	438.93	380.64	229.33	415.39	
187.98	239.37	357.41	226.70	441.57	381.20	231.86	416.55	
189.00	239.92	358.48	226.96	443.80	381.95	233.98	417.68	
190.01	240.72	359.58	227.49	445.95	382.83	236.00	418.91	
191.16	241.47	360.84	228.08	448.39	383.89	238.26	420.34	
192.64	242.77	362.36	229.00	451.55	385.24	241.23	422.22	
194.06	243.50	363.91	229.38	454.61	386.08	244.09	423.56	
196.73	245.11	366.81	230.62	459.86	388.19	248.92	426.38	
198.03	246.01	368.15	231.20	462.68	389.37	251.66	428.04	
199.26	247.49	369.39	232.28	465.57	390.67	254.55	429.93	
200.32	248.48	370.42	232.89	468.16	391.37	257.26	431.26	
200.92	248.92	370.95	232.87	470.14	391.33	259.39	431.83	
201.11	249.08	371.03	232.67	471.53	390.99	261.13	432.09	
201.20	249.89	370.88	233.03	472.74	391.05	262.90	432.82	
201.19	250.52	370.64	233.11	474.07	390.58	264.85	433.13	
200.95	250.59	370.02	232.46	475.59	389.20	267.14	432.82	
200.55	250.62	369.29	231.86	476.63	388.09	269.03	432.52	
199.99	250.93	368.51	231.74	476.94	387.36	270.04	432.42	
199.34	250.95	367.60	231.36	476.89	386.59	270.40	432.06	
199.09	250.59	367.34	230.96	476.74	386.02	270.33	431.69	
197.76	250.85	365.93	230.87	475.61	385.16	269.90	431.28	
194.53	250.61	362.25	229.87	472.83	382.53	268.55	429.54	
191.26	249.77	358.24	228.34	470.09	379.32	267.25	427.24	
189.09	248.80	355.51	226.89	468.59	376.66	266.86	425.39	
187.52	248.29	353.51	225.79	467.88	374.61	267.19	424.15	
186.36	248.65	351.97	225.58	467.61	373.53	267.98	423.87	
185.39	249.15	350.44	225.46	467.87	372.29	269.38	423.47	
184.07	248.69	348.53	223.97	468.54	369.44	271.71	421.99	
182.23	248.80	345.85	222.64	469.14	366.25	274.80	420.66	
180.22	249.50	342.68	221.80	469.68	363.12	278.15	419.41	
180.22	249.50	342.68	221.80	469.68	363.12	278.15	419.41	
178.25	249.99	339.39	220.71	470.17	359.68	281.49	417.83	
176.58	249.38	336.65	218.74	470.69	355.70	284.63	415.50	
175.21	249.47	334.41	217.64	471.09	352.90	287.49	414.14	
174.00	249.88	332.17	216.89	471.54	350.33	290.32	412.86	
172.56	250.27	329.59	216.00	471.83	347.39	293.42	411.36	
170.97	250.22	326.71	214.60	472.04	343.72	296.72	409.22	
169.17	250.29	323.69	213.23	472.12	340.12	300.02	407.15	
166.58	250.50	318.56	210.98	472.51	333.85	306.15	403.37	
165.72	250.75	316.64	210.24	472.67	331.46	308.73	402.01	
164.75	250.92	314.56	209.43	472.74	328.97	311.27	400.46	
163.94	251.17	312.63	208.76	472.89	326.66	313.86	399.06	
163.36	251.17	311.12	207.97	473.08	324.53	316.14	397.64	
162.86	251.27	309.71	207.32	473.30	322.64	318.33	396.50	
162.37	251.51	308.25	206.72	473.69	320.54	321.04	395.16	
161.93	252.01	306.65	206.29	473.94	318.62	323.73	393.97	
161.34	252.57	304.90	206.03	474.05	316.72	326.25	392.82	
160.49	252.28	302.78	204.82	474.01	313.78	328.80	390.66	
159.60	251.89	300.71	203.38	473.77	310.84	331.11	388.50	
158.77	252.50	298.74	203.15	473.36	309.07	333.25	387.36	
157.79	253.32	296.22	203.00	472.83	306.91	335.75	385.90	
156.79	253.60	293.24	202.03	472.45	303.38	339.08	383.32	
156.08	253.42	290.27	200.40	472.26	299.09	343.23	379.95	
155.99	253.82	287.89	199.52	472.45	295.60	347.64	377.24	
156.73	253.97	285.54	198.26	473.08	291.09	353.49	373.41	
156.96	253.56	284.90	197.40	473.36	289.26	355.36	371.84	
157.70	254.36	283.36	197.28	473.74	286.84	359.65	369.72	
158.51	253.86	283.19	196.41	474.40	284.98	362.01	367.94	
159.35	252.91	283.13	195.11	475.15	282.99	364.09	366.15	
159.71	253.42	283.08	195.48	475.31	283.01	364.87	366.19	
160.12	253.61	283.06	195.58	475.63	282.58	365.89	365.77	
160.86	253.61	283.12	195.33	476.15	281.71	367.60	364.95	
163.03	253.11	283.54	194.31	478.01	279.19	372.32	362.47	
164.15	252.92	283.80	193.86	478.96	278.01	374.58	361.33	
164.98	253.07	283.99	193.86	479.54	277.57	375.98	360.89	
165.11	253.18	284.01	193.95	479.64	277.55	376.15	360.91	
165.11	253.12	284.04	193.92	479.65	277.49	376.15	360.88	
165.12	253.01	284.04	193.79	479.70	277.37	376.21	360.75	
165.13	252.45	284.07	193.18	479.76	276.87	376.27	360.24	
165.12	252.70	284.08	193.35	479.77	277.08	376.21	360.51	
165.19	253.02	284.10	193.77	479.74	277.42	376.20	360.81	
165.21	252.91	284.18	193.67	479.82	277.39	376.18	360.76	
165.20	252.46	284.32	193.22	479.90	277.02	376.16	360.39	
165.20	252.48	284.34	193.21	479.94	277.12	376.10	360.61	
165.27	253.06	284.48	193.92	479.89	277.82	375.96	361.19	
165.29	252.98	284.60	193.90	479.97	277.96	375.83	361.29	
165.42	252.61	285.15	193.68	480.33	278.29	375.24	361.69	
166.00	252.63	286.49	194.08	481.05	279.81	374.34	363.06	
166.92	252.70	288.65	194.91	482.03	282.07	372.89	364.95	
168.74	251.77	293.33	195.58	483.98	285.68	370.01	367.68	
169.96	251.30	296.36	196.15	485.12	288.38	367.79	369.77	
